                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5875,                 5.2145,                 1.9505,                0.05263,                0.09091,                0.04271,                0.01708,                 1.4987,                 4.6828,                 2.2183,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.4554,                 4.5881,                 1.7869,                0.04167,                0.09091,                 0.0346,                0.01038,                 1.5197,                 4.6328,                 2.1916,               0.095495,             0.00049505,             0.00049505
                      2,                 1.5124,                 4.7776,                 1.8726,                0.09091,                0.18182,                 0.1294,                0.04324,                 1.4944,                 4.4775,                 2.1476,               0.092784,             0.00078416,             0.00078416
                      3,                 1.2654,                 4.2835,                 1.6798,                0.08989,                0.72727,                0.37875,                0.12424,                 1.2926,                 3.9907,                 2.0036,               0.090067,              0.0010673,              0.0010673
                      4,                 1.2788,                  3.348,                 1.6788,                0.79086,                0.34702,                0.50187,                0.17969,                 1.4529,                 3.2906,                 2.0694,               0.087345,              0.0013446,              0.0013446
                      5,                  1.372,                 2.8016,                 1.8435,                      1,                0.43944,                0.59285,                 0.3402,                 1.3045,                 2.5465,                  1.883,               0.084616,              0.0016158,              0.0016158
                      6,                 1.0471,                 2.0659,                 1.4832,                      1,                0.61821,                0.74285,                0.39107,                 1.2676,                 2.4711,                 1.8256,               0.081881,              0.0018812,              0.0018812
                      7,                 1.0454,                 2.2429,                 1.5477,                0.67153,                0.63636,                 0.6749,                0.40073,                 1.2857,                 2.3303,                 1.8438,               0.079141,              0.0021406,              0.0021406
                      8,                 1.2794,                 2.1494,                 1.6166,                0.64366,                0.72727,                0.77642,                0.47674,                 1.1262,                 2.3947,                 1.6769,               0.076394,              0.0023941,              0.0023941
                      9,                0.85212,                 1.9211,                 1.2996,                0.76406,                0.72727,                0.73884,                 0.4505,                0.97425,                 2.5595,                  1.523,               0.073642,              0.0026416,              0.0026416
                     10,                 1.1271,                 1.4938,                 1.5813,                0.48867,                0.90909,                0.72914,                0.44052,                0.97813,                 2.3665,                 1.5285,               0.070883,              0.0028832,              0.0028832
                     11,                 1.2402,                 2.0419,                 1.8088,                      1,                0.90052,                0.93176,                0.56249,                  1.132,                 2.0739,                 1.6872,               0.068119,              0.0031189,              0.0031189
                     12,                 1.1973,                 1.6433,                 1.7405,                0.82544,                0.90909,                0.90929,                0.56116,                 1.0135,                 2.1192,                 1.5703,               0.065349,              0.0033486,              0.0033486
                     13,                   1.14,                 1.4048,                 1.5798,                0.99977,                0.81818,                 0.9245,                0.63626,                0.99572,                  1.745,                  1.527,               0.062572,              0.0035723,              0.0035723
                     14,                0.81346,                 1.4696,                 1.3375,                0.99977,                0.81818,                 0.9245,                0.63626,                0.99572,                  1.745,                  1.527,                0.05979,              0.0037902,              0.0037902
                     15,                0.78524,                 1.3693,                 1.2118,                0.83306,                0.90909,                0.90597,                0.56785,                 1.0431,                 1.7415,                 1.5575,               0.057002,              0.0040021,              0.0040021
                     16,                 1.0248,                  1.465,                 1.4518,                0.77323,                0.62147,                0.72494,                0.40851,                 1.3357,                  1.964,                 1.7535,               0.054208,               0.004208,               0.004208
                     17,                0.75972,                 1.2846,                 1.1774,                0.77323,                0.62147,                0.72494,                0.40851,                 1.3357,                  1.964,                 1.7535,               0.051408,               0.004408,               0.004408
                     18,                 1.4459,                 1.7489,                 2.2298,                0.83972,                0.63636,                0.77194,                0.50128,                 1.3107,                 1.7704,                 1.7189,               0.048602,              0.0046021,              0.0046021
                     19,                0.84725,                 1.1347,                 1.2754,                0.68375,                0.72727,                  0.794,                0.53113,                 1.0998,                 1.6161,                 1.5157,                0.04579,              0.0047902,              0.0047902
                     20,                 1.0767,                 1.8939,                 1.7977,                0.68375,                0.72727,                  0.794,                0.53113,                 1.0998,                 1.6161,                 1.5157,               0.042972,              0.0049724,              0.0049724
                     21,                 0.7478,                0.92105,                 1.1377,                0.97076,                0.90909,                  0.935,                0.68854,                0.93635,                  1.328,                 1.3769,               0.040149,              0.0051487,              0.0051487
                     22,                0.74404,                 1.2201,                 1.2304,                0.97076,                0.90909,                  0.935,                0.68854,                0.93635,                  1.328,                 1.3769,               0.037319,               0.005319,               0.005319
                     23,                0.80428,                 0.9647,                 1.2283,                0.99239,                0.90909,                  0.971,                0.70503,                0.96927,                 1.1524,                  1.408,               0.034483,              0.0054833,              0.0054833
                     24,                0.87868,                 1.1327,                 1.2629,                0.99239,                0.90909,                  0.971,                0.70503,                0.96927,                 1.1524,                  1.408,               0.031642,              0.0056418,              0.0056418
                     25,                0.87304,                  1.105,                 1.2352,                0.89357,                      1,                   0.98,                0.69383,                0.97222,                 1.3784,                 1.4093,               0.028794,              0.0057942,              0.0057942
                     26,                0.62501,                 1.2179,                 1.1739,                0.89357,                      1,                   0.98,                0.69383,                0.97222,                 1.3784,                 1.4093,               0.025941,              0.0059408,              0.0059408
                     27,                0.81545,                0.91671,                 1.2803,                0.78419,                0.99161,                0.93571,                0.74736,                0.78647,                 0.9324,                  1.195,               0.023081,              0.0060814,              0.0060814
                     28,                 0.9533,                 1.2276,                  1.402,                0.78419,                0.99161,                0.93571,                0.74736,                0.78647,                 0.9324,                  1.195,               0.020216,              0.0062161,              0.0062161
                     29,                0.83566,                 1.2944,                 1.2816,                0.78419,                0.99161,                0.93571,                0.74736,                0.78647,                 0.9324,                  1.195,               0.017345,              0.0063448,              0.0063448
                     30,                0.83954,                 1.0403,                 1.2469,                0.89871,                0.90909,                0.98115,                0.80356,                0.67615,                 1.3447,                 1.1118,               0.014468,              0.0064676,              0.0064676
                     31,                0.73097,                 1.0651,                 1.3243,                0.89871,                0.90909,                0.98115,                0.80356,                0.67615,                 1.3447,                 1.1118,               0.011584,              0.0065844,              0.0065844
                     32,                0.76171,                 1.0089,                 1.2527,                0.99338,                0.90909,                0.98115,                0.80641,                0.66321,                0.71558,                 1.0639,              0.0086954,              0.0066954,              0.0066954
                     33,                0.99741,                 1.1385,                 1.4887,                0.99338,                0.90909,                0.98115,                0.80641,                0.66321,                0.71558,                 1.0639,               0.006733,               0.006733,               0.006733
                     34,                0.78074,                 1.1926,                 1.2646,                0.99338,                0.90909,                0.98115,                0.80641,                0.66321,                0.71558,                 1.0639,               0.006733,               0.006733,               0.006733
                     35,                0.95859,                 1.1127,                 1.3624,                0.91038,                      1,                   0.98,                 0.7893,                0.69098,                 1.2464,                 1.0473,               0.006634,               0.006634,               0.006634
                     36,                0.66096,                 1.4338,                 1.1415,                0.91038,                      1,                   0.98,                 0.7893,                0.69098,                 1.2464,                 1.0473,               0.006535,               0.006535,               0.006535
                     37,                0.62598,                0.88544,                 1.0567,                0.91038,                      1,                   0.98,                 0.7893,                0.69098,                 1.2464,                 1.0473,               0.006436,               0.006436,               0.006436
                     38,                0.93879,                 1.0146,                 1.3378,                0.78302,                      1,                0.90005,                0.70088,                0.80218,                 1.0471,                 1.1091,               0.006337,               0.006337,               0.006337
                     39,                0.68835,                 1.3214,                 1.1266,                0.78302,                      1,                0.90005,                0.70088,                0.80218,                 1.0471,                 1.1091,               0.006238,               0.006238,               0.006238
                     40,                0.67643,                0.87776,                 1.1041,                0.81858,                      1,                0.95831,                 0.7889,                0.66979,                0.82568,                0.99665,               0.006139,               0.006139,               0.006139
                     41,                0.66802,                 1.0816,                 1.1544,                0.81858,                      1,                0.95831,                 0.7889,                0.66979,                0.82568,                0.99665,                0.00604,                0.00604,                0.00604
                     42,                0.62012,                0.94512,                 1.0445,                0.81858,                      1,                0.95831,                 0.7889,                0.66979,                0.82568,                0.99665,               0.005941,               0.005941,               0.005941
                     43,                0.76231,                0.76482,                 1.1033,                0.98348,                      1,                  0.995,                0.84989,                0.60502,                 0.6451,                0.96732,               0.005842,               0.005842,               0.005842
                     44,                0.70653,                0.74332,                 1.1222,                0.98348,                      1,                  0.995,                0.84989,                0.60502,                 0.6451,                0.96732,               0.005743,               0.005743,               0.005743
                     45,                0.78518,                0.92606,                 1.2165,                0.98348,                      1,                  0.995,                0.84989,                0.60502,                 0.6451,                0.96732,               0.005644,               0.005644,               0.005644
                     46,                0.71394,                0.77877,                 1.1401,                0.99469,                      1,                  0.995,                0.82509,                 0.6674,                0.49113,                0.99532,               0.005545,               0.005545,               0.005545
                     47,                 0.6188,                0.95203,                 1.0119,                0.99469,                      1,                  0.995,                0.82509,                 0.6674,                0.49113,                0.99532,               0.005446,               0.005446,               0.005446
                     48,                0.66938,                0.66419,                  1.067,                0.98961,                      1,                  0.995,                0.84599,                0.64005,                0.52281,                0.98649,               0.005347,               0.005347,               0.005347
                     49,                 0.9457,                 1.2608,                 1.2669,                0.98961,                      1,                  0.995,                0.84599,                0.64005,                0.52281,                0.98649,               0.005248,               0.005248,               0.005248
                     50,                0.68379,                0.73876,                  1.065,                0.98961,                      1,                  0.995,                0.84599,                0.64005,                0.52281,                0.98649,               0.005149,               0.005149,               0.005149
                     51,                0.80257,                0.90347,                 1.2412,                0.99212,                0.90909,                 0.9875,                0.82877,                0.58457,                0.50899,                0.91904,                0.00505,                0.00505,                0.00505
                     52,                0.81083,                 1.1438,                 1.2241,                0.99212,                0.90909,                 0.9875,                0.82877,                0.58457,                0.50899,                0.91904,               0.004951,               0.004951,               0.004951
                     53,                 0.9126,                0.93999,                  1.288,                0.99212,                0.90909,                 0.9875,                0.82877,                0.58457,                0.50899,                0.91904,               0.004852,               0.004852,               0.004852
                     54,                 1.1771,                0.81765,                 1.3937,                0.98752,                      1,                  0.995,                0.83382,                 0.6185,                0.54993,                0.97172,               0.004753,               0.004753,               0.004753
                     55,                0.76238,                0.81226,                  1.067,                0.98752,                      1,                  0.995,                0.83382,                 0.6185,                0.54993,                0.97172,               0.004654,               0.004654,               0.004654
                     56,                0.64077,                0.76332,                 1.0627,                0.99377,                      1,                  0.995,                0.82784,                0.65467,                0.55521,                0.97332,               0.004555,               0.004555,               0.004555
                     57,                0.87449,                0.88174,                 1.1733,                0.99377,                      1,                  0.995,                0.82784,                0.65467,                0.55521,                0.97332,               0.004456,               0.004456,               0.004456
                     58,                0.87225,                 1.1489,                  1.273,                0.99377,                      1,                  0.995,                0.82784,                0.65467,                0.55521,                0.97332,               0.004357,               0.004357,               0.004357
                     59,                  0.639,                0.73035,                  1.047,                0.99416,                      1,                  0.995,                0.82174,                0.65975,                0.45544,                0.98368,               0.004258,               0.004258,               0.004258
                     60,                0.81564,                0.75052,                 1.2073,                0.99416,                      1,                  0.995,                0.82174,                0.65975,                0.45544,                0.98368,               0.004159,               0.004159,               0.004159
                     61,                 1.0719,                 1.1589,                 1.3231,                0.99416,                      1,                  0.995,                0.82174,                0.65975,                0.45544,                0.98368,                0.00406,                0.00406,                0.00406
                     62,                0.72003,                0.63108,                 1.0752,                 0.9918,                      1,                  0.995,                0.82412,                0.64368,                0.53331,                0.95617,               0.003961,               0.003961,               0.003961
                     63,                0.68598,                0.68959,                 1.0343,                 0.9918,                      1,                  0.995,                0.82412,                0.64368,                0.53331,                0.95617,               0.003862,               0.003862,               0.003862
                     64,                 0.6852,                0.70117,                 1.0344,                0.99262,                      1,                  0.995,                0.82157,                 0.6593,                0.43049,                0.95126,               0.003763,               0.003763,               0.003763
                     65,                0.74661,                 0.8007,                 1.1651,                0.99262,                      1,                  0.995,                0.82157,                 0.6593,                0.43049,                0.95126,               0.003664,               0.003664,               0.003664
                     66,                0.68678,                0.62683,                 1.0641,                0.99262,                      1,                  0.995,                0.82157,                 0.6593,                0.43049,                0.95126,               0.003565,               0.003565,               0.003565
                     67,                0.67612,                0.58946,                 1.1014,                0.99031,                      1,                  0.995,                0.79358,                0.70563,                0.44535,                0.96782,               0.003466,               0.003466,               0.003466
                     68,                0.69428,                0.83694,                 1.1367,                0.99031,                      1,                  0.995,                0.79358,                0.70563,                0.44535,                0.96782,               0.003367,               0.003367,               0.003367
                     69,                0.60589,                0.55768,                0.95849,                0.99031,                      1,                  0.995,                0.79358,                0.70563,                0.44535,                0.96782,               0.003268,               0.003268,               0.003268
                     70,                0.79176,                0.87513,                 1.1321,                0.99534,                      1,                  0.995,                0.75214,                0.75144,                0.52477,                 1.0106,               0.003169,               0.003169,               0.003169
                     71,                0.69385,                 0.6799,                 1.1213,                0.99534,                      1,                  0.995,                0.75214,                0.75144,                0.52477,                 1.0106,                0.00307,                0.00307,                0.00307
                     72,                0.94158,                0.71515,                 1.2183,                      1,                0.98805,                  0.995,                0.79029,                 0.7264,                0.43395,                 1.0177,               0.002971,               0.002971,               0.002971
                     73,                0.67034,                0.78714,                 1.0979,                      1,                0.98805,                  0.995,                0.79029,                 0.7264,                0.43395,                 1.0177,               0.002872,               0.002872,               0.002872
                     74,                0.66398,                0.62866,                 0.9813,                      1,                0.98805,                  0.995,                0.79029,                 0.7264,                0.43395,                 1.0177,               0.002773,               0.002773,               0.002773
                     75,                0.71353,                0.67825,                 1.2054,                 0.9918,                      1,                  0.995,                 0.8138,                 0.7068,                0.41018,                 1.0035,               0.002674,               0.002674,               0.002674
                     76,                0.53525,                0.69104,                 1.0799,                 0.9918,                      1,                  0.995,                 0.8138,                 0.7068,                0.41018,                 1.0035,               0.002575,               0.002575,               0.002575
                     77,                0.73244,                0.74996,                 1.1773,                 0.9918,                      1,                  0.995,                 0.8138,                 0.7068,                0.41018,                 1.0035,               0.002476,               0.002476,               0.002476
                     78,                0.65873,                0.69369,                 1.0415,                0.99202,                      1,                  0.995,                0.82073,                0.70462,                0.44639,                0.97037,               0.002377,               0.002377,               0.002377
                     79,                0.77603,                0.72419,                 1.2307,                0.99202,                      1,                  0.995,                0.82073,                0.70462,                0.44639,                0.97037,               0.002278,               0.002278,               0.002278
                     80,                0.60525,                0.59245,                 1.0427,                0.98213,                      1,                  0.995,                0.83766,                0.67732,                 0.4715,                0.95011,               0.002179,               0.002179,               0.002179
                     81,                0.72817,                 1.3062,                 1.2277,                0.98213,                      1,                  0.995,                0.83766,                0.67732,                 0.4715,                0.95011,                0.00208,                0.00208,                0.00208
                     82,                0.66188,                 0.6133,                 1.1281,                0.98213,                      1,                  0.995,                0.83766,                0.67732,                 0.4715,                0.95011,               0.001981,               0.001981,               0.001981
                     83,                0.81346,                0.78051,                 1.1118,                0.99071,                      1,                  0.995,                0.83214,                0.65792,                0.44136,                0.93354,               0.001882,               0.001882,               0.001882
                     84,                0.82711,                0.68237,                 1.1813,                0.99071,                      1,                  0.995,                0.83214,                0.65792,                0.44136,                0.93354,               0.001783,               0.001783,               0.001783
                     85,                0.77843,                0.67956,                 1.1282,                0.99071,                      1,                  0.995,                0.83214,                0.65792,                0.44136,                0.93354,               0.001684,               0.001684,               0.001684
                     86,                 1.0927,                0.82505,                 1.2867,                0.99418,                      1,                  0.995,                0.83371,                0.65284,                0.38643,                0.92709,               0.001585,               0.001585,               0.001585
                     87,                0.50935,                0.79441,                0.97029,                0.99418,                      1,                  0.995,                0.83371,                0.65284,                0.38643,                0.92709,               0.001486,               0.001486,               0.001486
                     88,                 0.6951,                0.72645,                  1.116,                0.99516,                      1,                  0.995,                0.83566,                0.63324,                0.35754,                0.91103,               0.001387,               0.001387,               0.001387
                     89,                 0.6886,                0.58185,                 1.0575,                0.99516,                      1,                  0.995,                0.83566,                0.63324,                0.35754,                0.91103,               0.001288,               0.001288,               0.001288
                     90,                0.78716,                0.75385,                 1.1661,                0.99516,                      1,                  0.995,                0.83566,                0.63324,                0.35754,                0.91103,               0.001189,               0.001189,               0.001189
                     91,                0.64254,                 0.6253,                 1.0249,                0.99543,                      1,                  0.995,                0.83266,                0.62072,                0.35532,                  0.907,                0.00109,                0.00109,                0.00109
                     92,                0.62841,                0.72941,                 0.9942,                0.99543,                      1,                  0.995,                0.83266,                0.62072,                0.35532,                  0.907,               0.000991,               0.000991,               0.000991
                     93,                0.54687,                 0.5711,                0.98915,                0.99543,                      1,                  0.995,                0.83266,                0.62072,                0.35532,                  0.907,               0.000892,               0.000892,               0.000892
                     94,                 1.0287,                0.97093,                 1.3943,                0.99519,                      1,                  0.995,                0.83862,                 0.6075,                0.36716,                0.90165,               0.000793,               0.000793,               0.000793
                     95,                0.54591,                0.51604,                 0.9908,                0.99519,                      1,                  0.995,                0.83862,                 0.6075,                0.36716,                0.90165,               0.000694,               0.000694,               0.000694
